clean...state_simple,comment_count
USA,266134
California,187320
Texas,79501
New York,67066
Florida,63614
New Jersey,36798
Colorado,35646
Ohio,33971
Washington,32441
Nevada,28743
Virginia,23649
Arizona,22663
Pennsylvania,22653
Illinois,22287
Tennessee,21342
Georgia,20916
District of Columbia,18079
North Carolina,16952
Massachusetts,16830
Wisconsin,11180
Oregon,10788
Michigan,10711
Maryland,9857
Hawaii,8073
South Carolina,7392
Kansas,7022
Minnesota,5367
Maine,5320
Iowa,5102
Indiana,4333
Louisiana,3859
Connecticut,3626
Idaho,3405
New Hampshire,3331
Utah,3200
Missouri,3171
Rhode Island,3155
Montana,3052
New Mexico,2797
Nebraska,2778
Arkansas,2745
Vermont,973
Unknown,929
Oklahoma,590
Delaware,521
Alabama,398
Wyoming,178
Kentucky,160
South Dakota,21
