clean...state_simple,topic,count
Arizona,0,71
Arizona,1,100
Arizona,2,190
Arizona,3,500
Arizona,4,572
Arizona,5,46
Arizona,6,125
Arizona,7,2277
Arizona,8,292
Arizona,9,1237
Georgia,0,23
Georgia,1,163
Georgia,2,44
Georgia,3,38
Georgia,4,113
Georgia,5,13
Georgia,6,31
Georgia,7,2524
Georgia,8,76
Georgia,9,1669
Michigan,0,15
Michigan,1,28
Michigan,2,17
Michigan,3,10
Michigan,4,51
Michigan,5,4
Michigan,6,14
Michigan,7,1365
Michigan,8,52
Michigan,9,579
Nevada,0,31
Nevada,1,28
Nevada,2,222
Nevada,3,49
Nevada,4,134
Nevada,5,16
Nevada,6,88
Nevada,7,3006
Nevada,8,161
Nevada,9,1623
North Carolina,0,19
North Carolina,1,22
North Carolina,2,65
North Carolina,3,20
North Carolina,4,105
North Carolina,5,7
North Carolina,6,28
North Carolina,7,2222
North Carolina,8,141
North Carolina,9,1270
Pennsylvania,0,63
Pennsylvania,1,67
Pennsylvania,2,210
Pennsylvania,3,85
Pennsylvania,4,156
Pennsylvania,5,17
Pennsylvania,6,89
Pennsylvania,7,3395
Pennsylvania,8,125
Pennsylvania,9,2077
Wisconsin,0,24
Wisconsin,1,641
Wisconsin,2,37
Wisconsin,3,71
Wisconsin,4,122
Wisconsin,5,12
Wisconsin,6,33
Wisconsin,7,2997
Wisconsin,8,133
Wisconsin,9,1079
