topic,top_words
0,"says, president, campaign, iran, cnn, biden, kamala, harris, https, lies"
1,"gives, illegal, harris, day, service, left, immigrants, citizens, https, biden"
2,"aliens, harris, help, americans, fema, biden, money, https, 000, illegal"
3,"think, need, didn, harris, biden, administration, watch, video, fema, https"
4,"policies, harris, amp, biden, open, 100, states, border, https, trump"
5,"dnc, low, https, released, conspiracy, enrich, trump, family, report, biden"
6,"debt, high, inflation, poorer, failed, kamalaharris, americans, harris, biden, https"
7,"republicans, don, people, just, president, like, democrats, biden, https, trump"
8,"defeat, elect, donald, let, walz, 2025, project, harris, https, trump"
9,"like, votes, don, voting, biden, election, people, https, vote, trump"
